code,name,population,area,gdp,continent
NZL,New Zealand,4896096,270467,41441.5,Oceania
CHN,China,1448230728,9706961,10434.8,Asia
DNK,Denmark,5833742,43094,61063.3,Europe
NLD,Netherlands,17209339,41850,52396.0,Europe
IND,India,1405888536,3287590,1927.7,Asia
USA,United States,334697768,9372610,63206.5,North America
IDN,Indonesia,278978137,1904569,3869.6,Asia
BRA,Brazil,215277141,8515767,6796.8,South America
PAK,Pakistan,229248330,881912,1188.9,Asia
NGA,Nigeria,216445511,923768,2097.1,Africa
BGD,Bangladesh,167797241,147570,1961.6,Asia
RUS,Russia,145811026,17098242,10126.7,Europe
MEX,Mexico,131489722,1964375,8329.3,North America
JPN,Japan,125610687,377930,40193.3,Asia
DEU,Germany,83881546,357114,46252.7,Europe
ARG,Argentina,45987548,2780400,8579.0,South America
DZA,Algeria,45309122,2381741,3306.9,Africa
CAN,Canada,38370345,9984670,43258.3,North America
AUS,Australia,26052891,7692024,51680.3,Oceania
KAZ,Kazakhstan,19193261,2724900,9122.2,Asia
SGP,Singapore,5940923,710,59797.8,Asia
ESP,Spain,46720554,505992,27056.4,Europe
SWE,Sweden,10215656,450295,52274.4,Europe
THA,Thailand,70071021,513120,7186.9,Asia
UKR,Ukraine,43207284,603500,3724.9,Europe
VNM,Vietnam,98909304,331212,2785.7,Asia
FRA,France,65575705,551695,39037.1,Europe
GBR,UK,68480917,242900,41059.2,Europe
ITA,Italy,60268283,301336,31770.0,Europe
CHE,Switzerland,8770302,41284,87100.4,Europe
QAT,Qatar,2977051,11586,50124.4,Asia